index,host,source,sourcetype,"_raw","_time"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:40:10 AM EST,8045,642,0,6,611,77,4,20818,0,0,21230,16743,0,0,0,0,0,0,0,0,2,4748940,114461,0,0,380753,0,0,","2015-01-20T11:40:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:40:25 AM EST,8042,2807,0,6,562,84,4,20818,0,0,21291,16743,0,0,0,0,0,0,0,0,2,4748236,114363,0,0,380791,0,0,","2015-01-20T11:40:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:40:40 AM EST,8042,2531,2,6,629,81,4,20818,0,0,21231,16743,0,0,0,0,0,0,0,0,2,4748236,114363,0,0,380827,0,0,","2015-01-20T11:40:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:40:55 AM EST,8042,1987,0,7,612,77,4,20818,0,0,21205,16743,0,0,0,0,0,0,0,0,14,4748236,114363,0,0,380792,0,0,","2015-01-20T11:40:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:41:10 AM EST,8042,1716,0,7,622,78,4,20818,0,0,21283,16743,0,0,0,0,0,0,0,0,2,4748236,114461,0,0,380787,0,0,","2015-01-20T11:41:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:41:25 AM EST,8042,1441,0,7,602,78,4,20818,0,0,21233,16743,0,0,0,0,0,0,0,0,2,4748236,114388,0,0,380783,0,0,","2015-01-20T11:41:25.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:41:40 AM EST,8042,1164,0,7,639,72,4,20818,0,0,21252,16743,0,0,0,0,0,0,0,0,2,4748236,114396,0,0,380850,0,0,","2015-01-20T11:41:40.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:41:55 AM EST,8042,808,0,7,605,81,4,20818,0,0,21215,16743,0,0,0,0,0,0,0,0,2,4748236,114392,0,0,380826,0,0,","2015-01-20T11:41:55.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:42:10 AM EST,8014,2861,0,7,620,72,4,20818,0,0,21138,16743,0,0,0,0,0,0,0,0,2,4748236,114490,0,0,380826,0,0,","2015-01-20T11:42:10.000+1100"
caapm,APPAU101MEL0078,"D:\Apps\CAAPM\Introscope9.1.4.0\logs\perflog.txt","wily_perflog","1/20/15 10:42:25 AM EST,8014,2579,3,7,547,85,4,20818,0,0,21328,16743,0,0,0,0,0,0,0,0,3,4748236,114392,0,0,380815,0,0,","2015-01-20T11:42:25.000+1100"
